,2019-02-27 00:00:00+01:00,2019-02-27 00:15:00+01:00,2019-02-27 00:30:00+01:00,2019-02-27 00:45:00+01:00,2019-02-27 01:00:00+01:00,2019-02-27 01:15:00+01:00,2019-02-27 01:30:00+01:00,2019-02-27 01:45:00+01:00,2019-02-27 02:00:00+01:00,2019-02-27 02:15:00+01:00,2019-02-27 02:30:00+01:00,2019-02-27 02:45:00+01:00,2019-02-27 03:00:00+01:00,2019-02-27 03:15:00+01:00,2019-02-27 03:30:00+01:00,2019-02-27 03:45:00+01:00,2019-02-27 04:00:00+01:00,2019-02-27 04:15:00+01:00,2019-02-27 04:30:00+01:00,2019-02-27 04:45:00+01:00,2019-02-27 05:00:00+01:00,2019-02-27 05:15:00+01:00,2019-02-27 05:30:00+01:00,2019-02-27 05:45:00+01:00,2019-02-27 06:00:00+01:00,2019-02-27 06:15:00+01:00,2019-02-27 06:30:00+01:00,2019-02-27 06:45:00+01:00,2019-02-27 07:00:00+01:00,2019-02-27 07:15:00+01:00,2019-02-27 07:30:00+01:00,2019-02-27 07:45:00+01:00,2019-02-27 08:00:00+01:00,2019-02-27 08:15:00+01:00,2019-02-27 08:30:00+01:00,2019-02-27 08:45:00+01:00,2019-02-27 09:00:00+01:00,2019-02-27 09:15:00+01:00,2019-02-27 09:30:00+01:00,2019-02-27 09:45:00+01:00,2019-02-27 10:00:00+01:00,2019-02-27 10:15:00+01:00,2019-02-27 10:30:00+01:00,2019-02-27 10:45:00+01:00,2019-02-27 11:00:00+01:00,2019-02-27 11:15:00+01:00,2019-02-27 11:30:00+01:00,2019-02-27 11:45:00+01:00,2019-02-27 12:00:00+01:00,2019-02-27 12:15:00+01:00,2019-02-27 12:30:00+01:00,2019-02-27 12:45:00+01:00,2019-02-27 13:00:00+01:00,2019-02-27 13:15:00+01:00,2019-02-27 13:30:00+01:00,2019-02-27 13:45:00+01:00,2019-02-27 14:00:00+01:00,2019-02-27 14:15:00+01:00,2019-02-27 14:30:00+01:00,2019-02-27 14:45:00+01:00,2019-02-27 15:00:00+01:00,2019-02-27 15:15:00+01:00,2019-02-27 15:30:00+01:00,2019-02-27 15:45:00+01:00,2019-02-27 16:00:00+01:00,2019-02-27 16:15:00+01:00,2019-02-27 16:30:00+01:00,2019-02-27 16:45:00+01:00,2019-02-27 17:00:00+01:00,2019-02-27 17:15:00+01:00,2019-02-27 17:30:00+01:00,2019-02-27 17:45:00+01:00,2019-02-27 18:00:00+01:00,2019-02-27 18:15:00+01:00,2019-02-27 18:30:00+01:00,2019-02-27 18:45:00+01:00,2019-02-27 19:00:00+01:00,2019-02-27 19:15:00+01:00,2019-02-27 19:30:00+01:00,2019-02-27 19:45:00+01:00,2019-02-27 20:00:00+01:00,2019-02-27 20:15:00+01:00,2019-02-27 20:30:00+01:00,2019-02-27 20:45:00+01:00,2019-02-27 21:00:00+01:00,2019-02-27 21:15:00+01:00,2019-02-27 21:30:00+01:00,2019-02-27 21:45:00+01:00,2019-02-27 22:00:00+01:00,2019-02-27 22:15:00+01:00,2019-02-27 22:30:00+01:00,2019-02-27 22:45:00+01:00,2019-02-27 23:00:00+01:00,2019-02-27 23:15:00+01:00,2019-02-27 23:30:00+01:00,2019-02-27 23:45:00+01:00
2019-02-26 16:15:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 16:30:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 16:45:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 17:15:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.82832167832167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3875,,,,,,,,,,,,
2019-02-26 17:30:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 17:45:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 18:15:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 18:30:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 18:45:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 19:15:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 19:30:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 19:45:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.041000000000004,
2019-02-26 20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 20:15:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,38.318999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 20:30:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26 20:45:00+01:00,,,,,,,,,,,,39.699999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
